year,question_text,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation
r05年度 問1,これは r05年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問2,これは r05年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問3,これは r05年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問4,これは r05年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問5,これは r05年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問6,これは r05年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問7,これは r05年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問8,これは r05年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問9,これは r05年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r05年度 問10,これは r05年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問1,これは r04年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問2,これは r04年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問3,これは r04年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問4,これは r04年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問5,これは r04年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問6,これは r04年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問7,これは r04年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問8,これは r04年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問9,これは r04年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r04年度 問10,これは r04年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問1,これは r03年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問2,これは r03年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問3,これは r03年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問4,これは r03年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問5,これは r03年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問6,これは r03年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問7,これは r03年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問8,これは r03年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
